,Id,Score
0,5161,3.071788309112186E35
1,5862,1.392899044284475E35
2,5059,8.46321743456773E34
3,5061,6.399736159029612E34
4,5160,5.22706143844855E34
5,5162,3.1472226133591867E34
6,5060,2.8255559812930812E34
7,5159,2.6435788236927183E34
8,5262,2.3633878187747495E34
9,5962,2.0530093169659426E34
10,5861,1.3941537937454585E34
11,5961,1.3118176361495335E34
12,5163,1.2768139968498213E34
13,5062,1.2132826165323917E34
14,4959,1.0388736511754387E34
15,4958,9.266740110635084E33
16,5261,9.247276208072783E33
17,5260,8.952313573343452E33
18,7524,8.81149968972464E33
19,5263,8.312940949982836E33
20,5058,7.454134882338106E33
21,4960,7.145372841486582E33
22,5361,7.136746291378115E33
23,7523,6.87453984925165E33
24,5063,6.458712269172165E33
25,5955,5.528893602687087E33
26,5956,5.491764669118411E33
27,4961,5.360960672156497E33
28,5461,5.34148886357142E33
29,5855,5.311901690841363E33
30,5761,5.278477570905744E33
31,5857,4.935245918674597E33
32,5856,4.886443886967005E33
33,5957,4.6228989090834633E33
34,5158,4.34964231249428E33
35,5259,4.336201077598029E33
36,5258,4.306743821771719E33
37,7623,4.294521386250377E33
38,7525,4.223606184717025E33
39,4957,4.189002973946345E33
40,7725,4.092518835703246E33
41,5358,4.063758087304542E33
42,7624,3.948947877116825E33
43,4857,3.902297859645514E33
44,7625,3.780297181088477E33
45,4962,3.588369899486878E33
46,4861,3.53643176903452E33
47,4548,3.4512056962055533E33
48,5659,3.444459723122342E33
49,5458,3.375648799244255E33
50,4856,3.228881401815321E33
51,5362,3.203548540163523E33
52,4860,3.100913529215033E33
53,5359,3.078235387183674E33
54,5759,3.033120378377891E33
55,5660,3.030614553628223E33
56,4858,3.015822715534115E33
57,5758,3.0097080408725574E33
58,5854,2.9420579639789027E33
59,5954,2.918378839292487E33
60,5963,2.9071165126662046E33
61,7626,2.883868548975567E33
62,5762,2.792248660378086E33
63,5858,2.7472185393885953E33
64,5459,2.7179430438768086E33
65,2354,1.6271161408289687E31
66,2454,1.6271161408289687E31
67,2255,1.6271161408289687E31
68,2355,1.6271161408289687E31
69,2254,1.626655836778797E31
70,3087,1.6260858202791053E31
71,2155,1.6260841240874758E31
72,7864,1.6260293081115447E31
73,2121,1.62585926311773E31
74,2156,1.6257038006577002E31
75,3686,1.6248365618455601E31
76,7121,1.619613773572475E31
77,3933,1.6182762042834716E31
78,2581,1.615336892551061E31
79,1747,1.614905385609692E31
80,1647,1.614905385609692E31
81,8454,1.614387491897409E31
82,6141,1.6109399912522275E31
83,2353,1.6058899803155543E31
84,3580,1.6051526978958385E31
85,7231,1.6027284026553397E31
86,6039,1.599813882138354E31
87,4486,1.596683338444043E31
88,7874,1.5963770536167422E31
89,3287,1.5950650274577157E31
90,3187,1.5947665165907785E31
91,3388,1.5942464426970733E31
92,3088,1.5942464426970733E31
93,3188,1.5942464426970733E31
94,3288,1.5942464426970733E31
95,3189,1.5942464426970733E31
96,3389,1.5942464426970733E31
97,3289,1.5942464426970733E31
98,3089,1.5942464426970733E31
99,8249,1.593909499541438E31
100,2042,1.5909182089673447E31
101,5937,1.5906926527594904E31
102,3084,1.588471649830221E31
103,1687,1.5873706635720528E31
104,6729,1.5858661592562812E31
105,6140,1.5813346890402306E31
106,7234,1.5772109577155939E31
107,4589,1.5713771194825805E31
108,4421,1.570367321617253E31
109,1851,1.568666214884738E31
110,1841,1.564865814444554E31
111,1589,1.561432908101385E31
112,2835,1.5614032345482105E31
113,5723,1.5585654959872036E31
114,2256,1.5558699163658384E31
115,5483,1.5541989714855921E31
116,1988,1.5517921634329698E31
117,3544,1.5510459732663196E31
118,3360,1.5489144263786226E31
119,8087,1.5464832411094198E31
