Square	Time	Country	SMSin	SMSout	Callin	Callout	Internet	Month	Day	Hour	WDay	Charge
1	1383519600000	0	0.10803881889584513	0.0	0.0	0.0	0.0	11	3	23	6	0
1	1383519600000	39	0.0261374242642866	0.030875085088185057	0.0261374242642866	0.055225199246972216	9.260190138848722	11	3	23	6	0
1	1383520200000	39	0.1870753611813048	0.10687577828294556	0.02730046487718618	0.0	9.215273068033444	11	3	23	6	1
1	1383520800000	39	0.02792473436978604	0.02792473436978604	0.0017873101054994376	0.05460092975437236	8.669007275372817	11	3	23	6	0
1	1383521400000	39	0.1905644830200036	0.10687577828294556	0.0	0.0261374242642866	7.81109865621646	11	3	23	6	1
1	1383522000000	39	0.21965225800268914	0.2398889808301777	0.0	0.05343788914147278	7.610200263878267	11	3	23	6	1
1	1383522600000	39	0.37522826460320907	0.2944899105845501	0.0	0.0261374242642866	7.776195678169277	11	3	23	6	1
1	1383523200000	39	0.2701397964257629	0.2683524863202635	0.0	0.0	7.0352520111573495	11	4	0	0	1
1	1383523800000	39	0.4356443974220793	0.4606187810734663	0.0	0.0	8.457138944563638	11	4	0	0	1
1	1383524400000	39	0.4048548107061944	0.21840371901748945	0.0017873101054994376	0.02730046487718618	8.812706798006351	11	4	0	0	1
1	1383525000000	39	0.32295341607463585	0.2428393315485768	0.0	0.0	8.687492886260216	11	4	0	0	1
1	1383525000000	46	0.0	0.0	0.0	0.0	0.0261374242642866	11	4	0	0	0
1	1383525600000	39	0.21204974483269184	0.21670190728429012	0.0	0.0	6.376637230638482	11	4	0	0	1
1	1383526200000	39	0.2706785675460627	0.3490908403389225	0.0	0.0	6.754778305413397	11	4	0	0	1
1	1383526800000	39	0.21491459717879072	0.2433781026688765	0.0	0.0	6.110829780114224	11	4	1	0	1
1	1383527400000	39	0.10687577828294556	0.0825256641241584	0.0	0.0	5.887773898645136	11	4	1	0	0
1	1383528000000	0	0.003574620210998875	0.0	0.0	0.0	0.0	11	4	1	0	0
1	1383528000000	39	0.10687577828294556	0.1887771729145041	0.0	0.0	6.107745973197919	11	4	1	0	0
1	1383528600000	39	0.05343788914147278	0.05343788914147278	0.0	0.0017873101054994376	5.992263878216481	11	4	1	0	0
1	1383528600000	46	0.0	0.0	0.0	0.0	0.0261374242642866	11	4	1	0	0
1	1383529200000	39	0.0	0.0	0.0	0.0	5.4174233008069725	11	4	1	0	0
1	1383529800000	0	0.02730046487718618	0.0	0.0	0.0	0.0	11	4	1	0	0
1	1383529800000	39	0.05460092975437236	0.05460092975437236	0.0	0.0	5.511249137231122	11	4	1	0	0
1	1383530400000	39	0.0	0.0	0.0	0.0	5.336269214587009	11	4	2	0	0
1	1383531000000	39	0.0	0.0	0.0	0.0	5.005542288597775	11	4	2	0	0
1	1383531600000	39	0.02730046487718618	0.0	0.0	0.0	5.372874004367392	11	4	2	0	0
1	1383532200000	39	0.0	0.0	0.0	0.0	4.749482018445802	11	4	2	0	0
1	1383532800000	39	0.0	0.0	0.0	0.0017873101054994376	4.989247960356986	11	4	2	0	0
1	1383533400000	39	0.13533928377303134	0.05460092975437236	0.0	0.0	5.460628142610141	11	4	2	0	0
1	1383534000000	39	0.052274848528573205	0.0	0.0	0.05460092975437236	5.506207023464718	11	4	3	0	0
1	1383534600000	39	0.0	0.0	0.0	0.0	4.694390275396736	11	4	3	0	0
1	1383535200000	39	0.0261374242642866	0.0261374242642866	0.0017873101054994376	0.0	5.563428070108483	11	4	3	0	0
1	1383535800000	39	0.0261374242642866	0.0	0.0	0.0	4.906269023484827	11	4	3	0	0
1	1383536400000	39	0.10920185950874473	0.0	0.02730046487718618	0.0	5.265864769886541	11	4	3	0	0
1	1383537000000	39	0.10920185950874473	0.02730046487718618	0.0	0.0	6.042373224984945	11	4	3	0	0
1	1383537600000	39	0.0	0.0	0.0	0.0	5.1201436189697125	11	4	4	0	0
1	1383538200000	39	0.0261374242642866	0.0	0.0	0.0	4.6569047210068515	11	4	4	0	0
1	1383538800000	0	0.0017873101054994376	0.0	0.0	0.0	0.0	11	4	4	0	0
1	1383538800000	39	0.058175549965371234	0.058175549965371234	0.052274848528573205	0.003574620210998875	5.516061879148412	11	4	4	0	0
1	1383539400000	0	0.032662395193684496	0.0	0.0	0.0	0.0	11	4	4	0	0
1	1383539400000	39	0.003574620210998875	0.0017873101054994376	0.0017873101054994376	0.03444970529918393	4.947366738632404	11	4	4	0	0
1	1383540000000	0	0.05343788914147278	0.0	0.0	0.0	0.0	11	4	4	0	0
1	1383540000000	39	0.0	0.0	0.0	0.052274848528573205	5.107765904429122	11	4	4	0	0
1	1383540600000	0	0.0017873101054994376	0.0	0.0	0.0	0.0	11	4	4	0	0
1	1383540600000	39	0.05343788914147278	0.05343788914147278	0.0261374242642866	0.0261374242642866	5.311332371482316	11	4	4	0	0
1	1383541200000	0	0.0261374242642866	0.0	0.0	0.0	0.0	11	4	5	0	0
